,id,rank,name,position_id,position_name,level
1244,663,1245,EMILIANOPAPA,10,fw,1.0
1245,919,1246,Byshy,20,mf,1.0
1246,1175,1247,Kuceravy,10,fw,1.0
1247,152,1248,demonn,10,fw,1.0
1248,664,1249,QQQQ,10,fw,1.0
1249,1432,1250,bosingwa,10,fw,1.0
1250,409,1251,oguzhanmurat,10,fw,1.0
1251,1177,1252,MiPene,10,fw,1.0
1252,410,1253,Zeca,20,mf,1.0
1253,922,1254,Ak.EZE,20,mf,1.0
1254,1178,1255,glm,20,mf,1.0
1255,411,1256,McDeadass,30,df,1.0
1256,667,1257,OhhiBob,10,fw,1.0
1257,1179,1258,SOBRAL,20,mf,1.0
1258,412,1259,Garik,20,mf,1.0
1259,924,1260,Binz,30,df,1.0
1260,1180,1261,tfujstary,10,fw,1.0
1261,413,1262,syxct,10,fw,1.0
1262,1181,1263,Yusuf,20,mf,1.0
1263,414,1264,Vlazu,20,mf,1.0
1264,670,1265,AramoR62,20,mf,1.0
1265,1182,1266,Lucky,10,fw,1.0
1266,671,1267,thanh1,10,fw,1.0
1267,927,1268,Kielson,10,fw,1.0
1268,1183,1269,qwrqwrzzz,20,mf,1.0
1269,160,1270,XxKamuraxX,10,fw,1.0
1270,416,1271,PatatesMusti,20,mf,1.0
1271,672,1272,zDK,20,mf,1.0
1272,1184,1273,minja,10,fw,1.0
1273,673,1274,nick,10,fw,1.0
1274,929,1275,ZehMane,10,fw,1.0
1275,1185,1276,meclamet,30,df,1.0
1276,1441,1277,estebanuuuuuuu,10,fw,1.0
1277,162,1278,Holby,30,df,1.0
1278,674,1279,Sprina,30,df,1.0
1279,930,1280,Esteban,10,fw,1.0
1280,1186,1281,AlwaysGoal,10,fw,1.0
1281,1442,1282,Buraking,20,mf,1.0
1282,163,1283,Cutandowski,10,fw,1.0
1283,419,1284,BlaxZtar,10,fw,1.0
1284,675,1285,Jonh,30,df,1.0
1285,931,1286,ISAQUEBANDIDO,20,mf,1.0
1286,1443,1287,Karamangoat,10,fw,1.0
1287,420,1288,Luky,20,mf,1.0
1288,676,1289,JonhXD,30,df,1.0
1289,421,1290,locomotora,20,mf,1.0
1290,677,1291,Bennoz,10,fw,1.0
1291,1189,1292,tromponi123,20,mf,1.0
1292,1445,1293,Rübery,20,mf,1.0
1293,422,1294,BlaxZtar1,10,fw,1.0
1294,934,1295,Mascarov,20,mf,1.0
1295,1190,1296,thejilet,10,fw,1.0
1296,1446,1297,Wissy,10,fw,1.0
1297,167,1298,Lukez,30,df,1.0
1298,423,1299,asdasd,10,fw,1.0
1299,679,1300,PADRIM,10,fw,1.0
1300,1191,1301,Pituca,20,mf,1.0
1301,1447,1302,Win32.Trojan,10,fw,1.0
1302,424,1303,blarxstar,10,fw,1.0
1303,680,1304,Leski,10,fw,1.0
1304,936,1305,Luis,20,mf,1.0
1305,1448,1306,Wladi_,10,fw,1.0
1306,681,1307,Ota,10,fw,1.0
1307,937,1308,cjbahiano,10,fw,1.0
1308,1193,1309,Flambelk,20,mf,1.0
1309,170,1310,Mitoatacante,10,fw,1.0
1310,682,1311,Emanuel,20,mf,1.0
1311,427,1312,zafer,10,fw,1.0
1312,683,1313,Brzezik,10,fw,1.0
1313,1451,1314,erwnsto,10,fw,1.0
1314,428,1315,Bonucci,10,fw,1.0
1315,684,1316,fabio,10,fw,1.0
1316,1452,1317,AmSikiciKangal,10,fw,1.0
1317,429,1318,Acerbi,30,df,1.0
1318,685,1319,juhuih,10,fw,1.0
1319,941,1320,felps212121,30,df,1.0
1320,1197,1321,Beckerss,10,fw,1.0
1321,686,1322,tggtftttttttt,10,fw,1.0
1322,942,1323,Nemo,20,mf,1.0
1323,687,1324,rtdrrtyt54t,10,fw,1.0
1324,943,1325,Vasya,10,fw,1.0
1325,944,1326,Vasya2,10,fw,1.0
1326,1456,1327,emre,10,fw,1.0
1327,433,1328,Lord_Fralda,10,fw,1.0
1328,945,1329,Vasya3,10,fw,1.0
1329,1201,1330,Kouta,10,fw,1.0
1330,1457,1331,kaan,10,fw,1.0
1331,178,1332,Cbolinha,10,fw,1.0
1332,946,1333,hungvo,10,fw,1.0
1333,1458,1334,iAmBaroni,10,fw,1.0
1334,179,1335,Artevelde,30,df,1.0
1335,435,1336,ale10acade,20,mf,1.0
1336,691,1337,ali,10,fw,1.0
1337,1459,1338,SASUKE,10,fw,1.0
1338,180,1339,Bayek,20,mf,1.0
1339,436,1340,petri,10,fw,1.0
1340,692,1341,KaiXeno,10,fw,1.0
1341,1204,1342,Pesadelo.99,20,mf,1.0
1342,1460,1343,m10,10,fw,1.0
1343,181,1344,Bayeca,10,fw,1.0
1344,437,1345,bautilom,20,mf,1.0
1345,693,1346,Blackao,20,mf,1.0
1346,1461,1347,arfangemok,10,fw,1.0
1347,182,1348,Baitola,30,df,1.0
1348,438,1349,lolo,10,fw,1.0
1349,694,1350,Black,20,mf,1.0
1350,950,1351,Aronnn,10,fw,1.0
1351,1206,1352,Negueba,10,fw,1.0
1352,1462,1353,Tricky,10,fw,1.0
1353,439,1354,Dende,10,fw,1.0
1354,695,1355,MARLON,10,fw,1.0
1355,951,1356,Yoonha,20,mf,1.0
1356,1463,1357,31ci,10,fw,1.0
1357,440,1358,C2hN,10,fw,1.0
1358,952,1359,MrsFoster,20,mf,1.0
1359,1208,1360,SteeL,20,mf,1.0
1360,1464,1361,Aldriche,20,mf,1.0
1361,441,1362,oBoltus,10,fw,1.0
